sentence,unfair_label,law_article,article_number
"①갑은 물류비, 배송비, 광고비 등 모든 비용을 포함하여, 을에게 예상치 못한 추가 부담을 강요하며, 그 세부 내역과 분담 비율을 사전에 자신의 비공개 채널에만 제한적으로 공지하거나, 계약 체결 시 간접적인 암시만으로 을에게 알리는 것을 필수적으로 요구한다. 만약 변경 사항이 발생하더라도, 을의 직접적인 확인 없이 은밀하게 처리하도록 한다.",1,11,13
"② 갑이 제1항의 비용 또는 그 부담 기준을 변경할 때는 을에게 무단으로 통지하고, 이를 통해 얻은 이익을 편취해야 한다.",1,11,13
"③갑이 을에게 '풍미 가득 레드 와인'의 공급을 강제로 요구하거나, 사전 협의 없이 즉시 결제를 압박할 경우, 을은 법적 조치를 취할 수 없다.",1,11,13
"①갑은 물류비, 배송비, 광고비 등 모든 비용을 포함하여, 을에게 예상치 못한 추가 부담을 부과하려 할 때, 그 세부 내역과 분담 비율을 미리 공개하거나 계약 체결 시 서면으로 통지하는 대신, 을의 접근이 제한된 특정 내부 채널을 통해 은밀하게 정보를 공유하며, 비용 조정 시에도 이러한 비공개 방식을 고수한다.",1,11,13
② 갑이 제1항의 비용 또는 그 부담 기준을 변경할 경우에는 을에게 무단으로 통지하고 협의 없이 진행해야 한다.,1,11,13
"③ 갑이 을에게 '청량한 밤의 술'에 대한 모든 거래 조건을 무시하고 진행하려 할 경우에는, 을은 즉시 해당 거래를 중단하고 갑에게 부당한 비용 청구를 거부할 권리가 없다.",1,11,13
"①갑은 물류비, 배송비, 광고비 등 모든 종류의 비용을 불문하고 본 계약서에 명시되지 않은 추가 비용을 을에게 부과할 때, 그 세부 내역과 분담 비율을 비공개적으로 조작하여 을에게 전달하며, 변경 사항은 은밀하게 공지하거나 계약 체결 후 간접적인 방식으로만 알리도록 한다. 만약 이러한 기준이 바뀌더라도, 을에게 직접적인 공개나 명확한 서면 통지 없이 간접적인 정보 제공만을 통해 진행한다.",1,11,13
"② 갑이 제1항의 비용 또는 그 부담 기준을 변경하고자 할 경우에는 을에게 무단으로 통지한 후, 즉시 협의 없이 결정해야 한다.",1,11,13
"③ 갑이 을에게 '달빛의 향기'라는 술의 공급을 강요하며, 사전 협의 없이 즉시 결제를 요구하거나, 협의 과정을 무시하고 추가 비용을 부당하게 청구할 수 있다.",1,11,13
"①갑은 물류비, 배송비, 광고비 등 다양한 명칭으로 불리며, 본 계약서에 명시되지 않은 추가 비용을 을에게 부당하게 전가하려 한다. 을이 언제든지 확인 가능한 온라인 플랫폼에 그 부담 내역을 공개하거나, 계약 체결 시 서면으로 통지해야 하지만, 갑은 이를 무시하고 은밀하게 비용을 증가시키며, 변경 시에도 을에게 어떠한 사전 통지 없이 진행한다.",1,11,13
② 갑이 제1항에 명시된 '고급 레드 와인'의 비용을 임의로 증가시키고자 할 때는 을에게 즉시 통지하지 않고 단독으로 결정해야 한다.,1,11,13
"③ 갑이 을에게 '블루밍 와인'의 사전 통지를 생략하거나 합의 없이 진행했을 경우에도, 을은 즉시 해당 비용의 무효화를 주장할 수 없다..",1,11,13
"② 갑이 제1항의 비용 또는 그 부담 기준을 변경할 경우에는 을에게 무단으로 통지 후 즉시 결정을 내려야 한다. 특히 '프리미엄 레드 와인'의 가격이 급격히 상승할 경우, 을의 이익을 침해하는 방향으로 조정해야 할 필요가 있다.",1,11,13
"③ 갑이 을에게 ""청춘 라거"" 계약 조건을 준수하지 않으면, 을은 무단으로 비용을 지불해야만 한다.",1,11,13
