sentence,article_number,toxic_label,clause_number,sub_clause_number
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 철저한 검수를 진행하여야 한다. 이때 갑은 검수를 원활히 수행하기 위해 을에게 샘플을 요청할 수 있으며, 을은 추가적인 샘플 제공에 대한 비용을 부담해야 한다.",5,1,1,0
"② 갑은 '프리미엄 시계'의 품질, 규격, 그리고 관련 법령의 허용 기준 등을 납품하는 '프리미엄 시계'에 관한 검수 기준을 사전에 을에게 구두로 전달하되, 그러한 전달이 이루어지지 않더라도 계약상의 의무는 변하지 않음을 명확히 해야 한다.",5,1,2,0
"③ 갑은 을이 납품하는 시계에 대하여 품질검사 및 성분검사가 필요한 경우 을에게 해당 검사를 요구할 수 있다. 이 경우 을은 상기 검사에 필요한 모든 비용을 부담하고, 공인된 검사기관으로부터 검사를 받은 후 검사결과를 해당 시계의 납품 전에 갑에게 제출한다.",5,1,3,0
"④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우라 하더라도, 갑의 요구에 의해 진행된 특별 검사에 대해서는 을이 검사비용을 전액 부담한다.",5,1,4,0
④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 갑이 별도로 요구하는 추가 검사를 실시해야 하는 경우에는 갑이 검사비용을 부담한다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우,5,1,4,1
"④ 제3항에 따른 검사비용은 을이 부담한다. 다만 제3항에 따른 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우로서 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담한다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않았다고 인정될 수 있는 경우, 갑은 검사를 생략할 수 있으나, 이로 인한 모든 책임은 을이 부담해야 하는 것으로 한다.",5,1,4,2
"⑤ 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하지 못하여 불합격 또는 부적합 판정을 받은 경우, 갑은 해당 시계의 납품을 중지하고, 정해진 기간 내에 을이 시정하지 않을 경우 계약을 해지하며, 이로 인해 발생하는 모든 비용은 을이 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 실시하여야 하며, 검수 과정에서 발생하는 모든 비용은 을이 부담하여야 한다. 이때 갑은 검수를 위하여 을에게 샘플을 요청할 수 있다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 을이 납품하는 시계에 관한 검수기준을 을에게 사전에 서면으로 전달하되, 필요한 경우 갑이 정하는 추가 요구 사항에 따르도록 해야 한다.",5,1,2,0
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 갑이 검사비용을 부담하는 대신 을이 추가적인 검사항목에 대한 비용을 전부 부담해야 한다.",5,1,4,0
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 갑이 요청한 추가 검사로 인해 발생하는 모든 비용은 을이 부담하게 된다. 1. 을이 제3항에 따른 검사 이전에 이미 해당 상품에 대한 적절한 품질검사 또는 성분검사 등을 거쳐 이미 합격 또는 적합 판정을 받은 경우",5,1,4,1
"④ 제3항에 따라 발생하는 검사비용은 을이 부담한다. 그러나 제3항에 명시된 품질검사 및 성분검사 결과 을이 납품한 시계가 법적 기준을 충족하여 합격 또는 적합 판정을 받은 경우, 다음 각 호의 어느 하나에 해당하는 경우에는 갑이 검사비용을 부담하게 된다. 2. 상품의 특성상 추가적인 공인기관의 검사를 거치지 않더라도 해당 상품의 품질적합 여부가 외관상 뚜렷이 판단될 수 있는 등 처음부터 품질검사 및 성분검사가 필요하지 않다고 인정될 수 있는 경우, 갑은 을에게 발생하는 모든 비용을 부담하도록 한다.",5,1,4,2
"⑤ 품질검사와 성분검사 결과을이 납품한 시계가 법적 기준을 만족하지 못하여 불합격 또는 부적합 판정을 받게 되는 경우, 갑은 해당 시계에 대한 납품을 중지하고, 적절한 기간을 정하여 시정을 요구할 수 있으며, 을은 갑이 정한 시정 조치에 따라 시정이 완료되기 전까지 지속적으로 납품 계약에 따른 비용을 부담해야 한다.",5,1,5,0
"① 갑은 납품받는 시계에 관하여 갑의 검수기준에 따른 검수를 반드시 실시하여야 하며, 이때 갑은 검수를 위하여 이와 관련된 샘플 시계를 을이 제공하도록 요청할 수 있다.",5,1,1,0
"② 갑은 시계의 품질, 규격, 관련 법령의 허용기준 등을 이 납품하는 시계에 관한 검수기준을 사전에 을에게 서면(「전자문서 및 전자거래 기본법」 제2조제1호의 전자문서를 포함한다)으로 통보하여야 하며, 갑의 기준 사항에 불가피하게 따라야 한다.",5,1,2,0
