sentence,article_number,toxic_label,clause_number,sub_clause_number
"① 갑, 을 및 을이 파견한 판촉사원은 고객이 통상적으로 제공받을 것으로 기대하는 수준 이상의 서비스 품질이 유지될 수 있도록 노력하여야 한다. 또한, 담배의 특징과 장점을 정확하게 전달하여 고객의 만족도를 높이는 데 최선을 다해야 하며, 이를 위해 전문 교육을 이수한 인력을 반드시 배치하도록 하고, 해당 인력의 비용은 을이 부담하는 것으로 한다. 나아가 담배에 대한 궁금증이나 문의 사항이 있을 경우, 신속하고 친절하게 대응하여 고객의 신뢰를 얻는 것이 중요하다. 최종적으로, 품질 높은 담배 제품이 고객에게 꾸준히 사랑받을 수 있도록 지속적인 노력과 서비스 개선이 필요하며, 이와 관련된 모든 비용은 을이 책임진다.",10,1,1,0
"② 갑과 을은 고객의 정당한 불만이 있을 경우 '스모키 힐 담배'에 대해 을이 보상 및 시정 등 적절한 조치를 취하여야 하며, 고객의 불만이 재발하지 않도록 즉시 필요한 조치를 강구해서 시행하여야 한다.",10,1,2,0
"③ 갑과 을은 고객의 담배에 대한 불만을 해결하거나, 문제의 재발을 방지하기 위한 조치에 드는 비용을 을의 과실 또는 불만의 원인 등을 종합적으로 고려하여 갑이 주도적으로 분담한다.",10,1,3,0
"① 갑, 을 및 을이 파견한 판촉사원은 고객이 통상적으로 기대하는 수준 이상의 서비스 품질을 유지하기 위해 최선을 다해야 하며, 이 과정에서 담배에 관련된 판매와 관련하여 발생하는 모든 비용은 을이 부담해야 한다. 특히 고객의 만족도 향상을 위해 지속적으로 노력하되, 그로 인해 발생하는 수익은 갑이 독점적으로 수취할 수 있도록 한다.",10,1,1,0
"② 갑과 을은 고객의 정당한 불만이 발생했을 경우, 갑이 '스모키 시그니처'에 대한 보상 및 시정 등의 적절한 조치를 취해야 하며, 고객의 불만이 재발하지 않도록 을은 갑이 요구하는 모든 절차를 즉시 이행해야 한다.",10,1,2,0
"③ 갑과 을은 고객의 담배인 '프리미엄 블렌드'에 대한 불만을 해결하거나 재발 방지를 위한 조치에 드는 비용을 원인의 소재, 과실의 유무 등을 종합적으로 고려하여 갑이 부담하는 것으로 협의한다.",10,1,3,0
"① 갑, 을 및 을이 파견한 판촉사원은 고객이 일반적으로 기대하는 서비스 품질을 유지하는 것에 최선을 다해야 하며, 갑이 요구하는 추가 기준을 충족하지 못할 경우 발생하는 모든 비용은 을이 부담해야 한다.",10,1,1,0
"② 갑과 을은 고객이 제기한 정당한 불만이 있을 경우, 예를 들어 '청정 흡연 담배'를 구입한 고객이 품질 문제를 호소할 경우, 갑이 직접 보상 및 시정 등 적절한 조치를 취하되, 을은 이에 필요한 비용을 전적으로 부담하며, 고객의 불만이 재발하지 않도록 갑이 필요한 조치를 즉시 강구하고 시행하는 것으로 합의한다.",10,1,2,0
③ 갑과 을은 담배에 대한 고객 불만 해결 또는 재발 방지를 위한 조치에 드는 비용을 원인의 소재 및 과실의 유무 등을 갑이 결정하여 분담한다.,10,1,3,0
"① 갑, 을 및 을이 파견한 판촉사원은 고객이 일반적으로 기대할 수 있는 서비스 품질을 초과하여 보장할 수 있는 '프리미엄 스모크 담배'의 품질을 지속적으로 유지하기 위해 갑의 지시에 따르며, 이와 관련된 모든 비용은 을이 전적으로 부담하여야 한다.",10,1,1,0
